Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
analcatdata_apnea1 (2),475.0,0.0,1.0,3.0,2.0,87.1578947368421
fri_c4_500_100 (2),500.0,0.0,100.0,1.0,2.0,56.6
analcatdata_supreme (2),4052.0,0.0,7.0,1.0,2.0,76.0365251727542
disclosure_x_noise (2),662.0,0.0,3.0,1.0,2.0,50.302114803625365
rabe_265 (2),51.0,0.0,6.0,1.0,2.0,58.82352941176471
cholesterol (2),303.0,6.0,6.0,8.0,2.0,54.78547854785479
hypothyroid (2),3772.0,6064.0,7.0,23.0,2.0,92.28525980911984
analcatdata_negotiation (2),92.0,26.0,4.0,2.0,2.0,71.73913043478261
analcatdata_marketing (2),364.0,80.0,0.0,33.0,2.0,68.4065934065934
cmc (2),1473.0,0.0,2.0,8.0,2.0,57.2980312287848
arrhythmia (2),452.0,408.0,206.0,74.0,2.0,54.20353982300885
lupus (1),87.0,0.0,3.0,1.0,2.0,59.77011494252874
sleuth_ex1714 (2),47.0,0.0,7.0,1.0,2.0,57.44680851063831
pyrim (2),74.0,0.0,27.0,1.0,2.0,58.1081081081081
boston (2),506.0,0.0,12.0,2.0,2.0,58.69565217391305
fri_c4_100_100 (2),100.0,0.0,100.0,1.0,2.0,53.0
sleuth_ex2016 (2),87.0,0.0,8.0,3.0,2.0,51.72413793103448
ipums_la_98-small (2),7485.0,32427.0,16.0,40.0,2.0,89.43219772879091
white-clover (2),63.0,0.0,27.0,5.0,2.0,60.317460317460316
teachingAssistant (1),151.0,0.0,2.0,5.0,3.0,34.437086092715234
auto93 (2),93.0,14.0,16.0,7.0,2.0,62.365591397849464
sleuth_case1202 (2),93.0,0.0,4.0,3.0,2.0,61.29032258064516
wind_correlations (2),45.0,0.0,46.0,1.0,2.0,51.11111111111111
mfeat-pixel (2),2000.0,0.0,0.0,241.0,2.0,90.0
autos (2),205.0,59.0,15.0,11.0,2.0,67.31707317073172
chscase_vine1 (2),52.0,0.0,9.0,1.0,2.0,53.84615384615386
mbagrade (2),61.0,0.0,1.0,2.0,2.0,52.459016393442624
sensory (2),576.0,0.0,0.0,12.0,2.0,58.506944444444436
ar5 (1),36.0,0.0,29.0,1.0,2.0,77.7777777777778
pbc (3),418.0,1239.0,10.0,9.0,2.0,55.023923444976084
dermatology (2),366.0,8.0,1.0,34.0,2.0,69.39890710382514
analcatdata_broadwaymult (2),285.0,27.0,3.0,5.0,2.0,58.596491228070185
soybean (2),683.0,2337.0,0.0,36.0,2.0,86.53001464128843
sleuth_case1102 (2),34.0,0.0,5.0,4.0,2.0,55.88235294117647
sleuth_ex2015 (2),60.0,0.0,6.0,2.0,2.0,55.00000000000001
braziltourism (2),412.0,96.0,4.0,5.0,2.0,77.18446601941747
audiology (2),226.0,317.0,0.0,70.0,2.0,74.77876106194691
analcatdata_gsssexsurvey (2),159.0,6.0,4.0,6.0,2.0,77.9874213836478
sleuth_ex2015 (1),60.0,0.0,7.0,1.0,2.0,50.0
boston_corrected (2),506.0,0.0,17.0,4.0,2.0,55.92885375494071
auto_price (2),159.0,0.0,14.0,2.0,2.0,66.0377358490566
ar3 (1),63.0,0.0,29.0,1.0,2.0,87.30158730158729
cars (2),406.0,14.0,6.0,3.0,2.0,62.56157635467979
postoperative-patient-data (2),90.0,3.0,0.0,9.0,2.0,71.1111111111111
heart-c (2),303.0,7.0,6.0,8.0,2.0,54.45544554455447
cleveland (2),303.0,6.0,6.0,8.0,2.0,54.12541254125413
anneal (3),898.0,22175.0,6.0,33.0,2.0,76.16926503340757
breastTumor (2),286.0,9.0,1.0,9.0,2.0,58.04195804195804
analcatdata_birthday (2),365.0,30.0,1.0,3.0,2.0,85.4794520547945
autoHorse (2),205.0,57.0,17.0,9.0,2.0,59.512195121951216
analcatdata_vehicle (2),48.0,0.0,0.0,5.0,2.0,56.25
squash-stored (2),52.0,7.0,21.0,4.0,2.0,55.769230769230774
sleuth_ex1605 (2),62.0,0.0,5.0,1.0,2.0,50.0
baskball (2),96.0,0.0,4.0,1.0,2.0,51.04166666666666
autoMpg (2),398.0,6.0,4.0,4.0,2.0,52.51256281407035
visualizing_slope (2),44.0,0.0,3.0,1.0,2.0,61.36363636363637
eucalyptus (2),736.0,448.0,14.0,6.0,2.0,70.92391304347827
hungarian (2),294.0,782.0,6.0,8.0,2.0,63.94557823129252
fl2000 (2),67.0,0.0,14.0,2.0,2.0,61.19402985074627
analcatdata_cyyoung8092 (1),97.0,0.0,7.0,4.0,2.0,75.25773195876289
pasture (2),36.0,0.0,21.0,2.0,2.0,66.66666666666666
pc1_req (1),320.0,0.0,7.0,2.0,2.0,66.5625
cm1_req (1),89.0,0.0,7.0,2.0,2.0,77.52808988764046
analcatdata_asbestos (1),83.0,0.0,1.0,3.0,2.0,55.42168674698795
meta (2),528.0,504.0,19.0,3.0,2.0,89.77272727272727
heart-h (2),294.0,782.0,6.0,8.0,2.0,63.94557823129252
squash-unstored (2),52.0,39.0,20.0,4.0,2.0,53.84615384615386
kdd_el_nino-small (2),782.0,466.0,6.0,3.0,2.0,64.9616368286445
analcatdata_runshoes (2),60.0,14.0,4.0,7.0,2.0,60.0
pbcseq (2),1945.0,1133.0,12.0,7.0,2.0,50.025706940874045
pendigits (2),10992.0,0.0,16.0,1.0,2.0,89.5924308588064
fishcatch (2),158.0,87.0,5.0,3.0,2.0,60.12658227848101
sleep (3),62.0,8.0,7.0,1.0,2.0,53.225806451612904
sleuth_ex2016 (1),87.0,0.0,9.0,2.0,2.0,58.620689655172406
fri_c2_1000_10 (2),1000.0,0.0,10.0,1.0,2.0,57.99999999999999
nursery (2),12960.0,0.0,0.0,9.0,2.0,66.66666666666666
fri_c0_1000_50 (2),1000.0,0.0,50.0,1.0,2.0,51.0
fri_c1_1000_10 (2),1000.0,0.0,10.0,1.0,2.0,56.39999999999999
prnn_fglass (1),214.0,0.0,9.0,1.0,6.0,35.51401869158878
letter (2),20000.0,0.0,16.0,1.0,2.0,95.935
fri_c2_1000_25 (2),1000.0,0.0,25.0,1.0,2.0,56.3
fri_c2_1000_50 (2),1000.0,0.0,50.0,1.0,2.0,58.2
fri_c0_1000_5 (2),1000.0,0.0,5.0,1.0,2.0,50.3
diggle_table_a2 (1),310.0,0.0,8.0,1.0,9.0,13.225806451612904
fri_c0_1000_10 (2),1000.0,0.0,10.0,1.0,2.0,50.9
fri_c2_1000_5 (2),1000.0,0.0,5.0,1.0,2.0,58.4
pol (2),15000.0,0.0,48.0,1.0,2.0,66.39333333333333
kdd_internet_usage (1),10108.0,2699.0,0.0,69.0,2.0,73.14008705975466
fri_c3_1000_50 (2),1000.0,0.0,50.0,1.0,2.0,55.50000000000001
fri_c4_1000_50 (2),1000.0,0.0,50.0,1.0,2.0,56.00000000000001
fried (2),40768.0,0.0,10.0,1.0,2.0,50.10547488226059
fri_c1_1000_25 (2),1000.0,0.0,25.0,1.0,2.0,54.6
elevators (2),16599.0,0.0,18.0,1.0,2.0,69.09452376649196
fri_c4_1000_10 (2),1000.0,0.0,10.0,1.0,2.0,56.00000000000001
fri_c1_1000_50 (2),1000.0,0.0,50.0,1.0,2.0,54.7
fri_c0_1000_25 (2),1000.0,0.0,25.0,1.0,2.0,50.3
fri_c3_1000_25 (2),1000.0,0.0,25.0,1.0,2.0,55.7
fri_c4_1000_25 (2),1000.0,0.0,25.0,1.0,2.0,54.7
house_16H (2),22784.0,0.0,16.0,1.0,2.0,70.4002808988764
ailerons (2),13750.0,0.0,40.0,1.0,2.0,57.61454545454545
fri_c4_1000_100 (2),1000.0,0.0,100.0,1.0,2.0,56.39999999999999
rmftsa_sleepdata (1),1024.0,0.0,2.0,1.0,4.0,39.453125
fri_c3_1000_5 (2),1000.0,0.0,5.0,1.0,2.0,56.3
fri_c1_1000_5 (2),1000.0,0.0,5.0,1.0,2.0,54.3
PopularKids (1),478.0,0.0,6.0,5.0,3.0,51.673640167364034
house_8L (2),22784.0,0.0,8.0,1.0,2.0,70.4002808988764
prnn_viruses (1),61.0,0.0,10.0,9.0,4.0,63.93442622950821
analcatdata_germangss (1),400.0,0.0,1.0,5.0,4.0,25.0
houses (2),20640.0,0.0,8.0,1.0,2.0,56.81201550387597
fri_c3_1000_10 (2),1000.0,0.0,10.0,1.0,2.0,56.00000000000001
analcatdata_neavote (2),100.0,0.0,1.0,3.0,2.0,93.0
2dplanes (2),40768.0,0.0,10.0,1.0,2.0,50.08830455259026
webdata_wXa (1),36974.0,0.0,123.0,1.0,2.0,75.99935089522367
confidence (1),72.0,0.0,3.0,1.0,6.0,16.666666666666664
mv (2),40768.0,0.0,7.0,4.0,2.0,59.657083987441126
gina_prior (1),3468.0,0.0,784.0,1.0,2.0,50.83621683967705
analcatdata_broadwaymult (1),285.0,27.0,3.0,5.0,7.0,41.40350877192983
usp05 (1),203.0,0.0,3.0,14.0,11.0,55.17241379310346
humandevel (2),130.0,0.0,2.0,2.0,2.0,50.0
chscase_funds (2),185.0,0.0,2.0,2.0,2.0,52.972972972972975
lymphoma_2classes (1),45.0,5948.0,4026.0,1.0,2.0,51.11111111111111
analcatdata_marketing (1),364.0,101.0,0.0,33.0,6.0,55.769230769230774
sylva_prior (1),14395.0,0.0,108.0,1.0,2.0,93.84508509899271
gisette (2),7000.0,0.0,5000.0,1.0,2.0,50.0
analcatdata_michiganacc (2),108.0,0.0,2.0,3.0,2.0,55.55555555555557
fertility (1),100.0,0.0,9.0,1.0,2.0,88.0
leukemia (1),72.0,0.0,7129.0,1.0,2.0,65.27777777777779
eye_movements (1),10936.0,0.0,24.0,4.0,3.0,38.97220190197513
ipums_la_97-small (1),7019.0,48089.0,0.0,61.0,8.0,27.610770765066253
oh0.wc (1),1003.0,0.0,3182.0,1.0,10.0,19.3419740777667
fbis.wc (1),2463.0,0.0,2000.0,1.0,17.0,20.544051969143318
acute-inflammations (2),120.0,0.0,1.0,6.0,2.0,50.83333333333333
oh10.wc (1),1050.0,0.0,3238.0,1.0,10.0,15.714285714285715
tr45.wc (1),690.0,0.0,8261.0,1.0,10.0,23.18840579710145
hiva_agnostic (1),4229.0,0.0,1617.0,1.0,2.0,96.47670844171199
vehicle_sensIT (1),98528.0,0.0,100.0,1.0,2.0,50.0
meta_stream_intervals.arff (1),45164.0,0.0,74.0,1.0,11.0,50.97201310778496
gina_prior2 (1),3468.0,0.0,784.0,1.0,10.0,11.043829296424454
acute-inflammations (1),120.0,0.0,1.0,6.0,2.0,58.33333333333334
CIFAR_10_small (1),20000.0,0.0,3072.0,1.0,10.0,10.16
hayes-roth (1),160.0,0.0,4.0,1.0,3.0,40.625
oh15.wc (1),913.0,0.0,3100.0,1.0,10.0,17.196056955093102
oh5.wc (1),918.0,0.0,3012.0,1.0,10.0,16.23093681917211
vehicleNorm (1),98528.0,0.0,100.0,1.0,2.0,50.0
blogger (1),100.0,0.0,0.0,6.0,2.0,68.0
ipums_la_99-small (1),8844.0,51515.0,0.0,61.0,7.0,65.6151062867481
BNG(vote) (1),131072.0,0.0,0.0,17.0,2.0,61.34719848632813
creditcard (1),284807.0,0.0,30.0,1.0,2.0,99.82725143693798
ipums_la_98-small (1),7485.0,52048.0,0.0,61.0,7.0,64.15497661990648
IMDB.drama (1),120919.0,0.0,1001.0,1.0,2.0,63.794771706679676
tumors_C (1),60.0,0.0,7129.0,1.0,2.0,65.0
covertype (3),581012.0,0.0,10.0,45.0,7.0,48.759922342395676
BNG(solar-flare) (1),1000000.0,0.0,0.0,13.0,3.0,99.4382
BNG(trains) (1),1000000.0,0.0,0.0,33.0,2.0,50.1119
CovPokElec (1),1455525.0,0.0,22.0,51.0,10.0,44.96989058930627
BNG(labor) (2),1000000.0,0.0,8.0,9.0,2.0,64.7
BNG(hepatitis) (1),1000000.0,0.0,6.0,14.0,2.0,79.2183
SEA(50000) (1),1000000.0,0.0,3.0,1.0,2.0,61.4332
SEA(50) (1),1000000.0,0.0,3.0,1.0,2.0,61.4342
BNG(mushroom) (1),1000000.0,0.0,0.0,23.0,2.0,51.82980000000001
BNG(heart-statlog) (1),1000000.0,0.0,13.0,1.0,2.0,55.59460000000001
BNG(credit-a) (1),1000000.0,0.0,6.0,10.0,2.0,55.4008
BNG(kr-vs-kp) (1),1000000.0,0.0,0.0,37.0,2.0,52.1875
Hyperplane_10_1E-4 (1),1000000.0,0.0,10.0,1.0,2.0,50.0166
BNG(page-blocks) (1),295245.0,0.0,10.0,1.0,5.0,89.81489949025385
BNG(soybean) (1),1000000.0,0.0,0.0,36.0,19.0,13.334499999999998
pokerhand (1),829201.0,0.0,5.0,6.0,10.0,50.11161346886943
Click_prediction_small (4),399482.0,0.0,11.0,1.0,2.0,83.20600177229512
BNG(SPECT) (1),1000000.0,0.0,0.0,23.0,2.0,79.158
BNG(wine) (1),1000000.0,0.0,13.0,1.0,3.0,40.1055
BNG(letter) (2),1000000.0,0.0,16.0,1.0,26.0,4.0765
Agrawal1 (1),1000000.0,0.0,6.0,4.0,2.0,67.2045
BNG(heart-c) (1),1000000.0,0.0,6.0,8.0,5.0,54.143600000000006
BNG(lymph) (1),1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
Hyperplane_10_1E-3 (1),1000000.0,0.0,10.0,1.0,2.0,50.0007
BNG(dermatology) (1),1000000.0,0.0,1.0,34.0,6.0,30.4589
codrnaNorm (1),488565.0,0.0,8.0,1.0,2.0,66.66666666666666
RandomRBF_50_1E-4 (1),1000000.0,0.0,10.0,1.0,5.0,30.0096
RandomRBF_10_1E-4 (1),1000000.0,0.0,10.0,1.0,5.0,30.0096
RandomRBF_50_1E-3 (1),1000000.0,0.0,10.0,1.0,5.0,30.0096
BNG(waveform-5000) (1),1000000.0,0.0,40.0,1.0,3.0,33.8402
Stagger1 (1),1000000.0,0.0,0.0,4.0,2.0,88.8391
BNG(bridges_version1) (1),1000000.0,0.0,3.0,10.0,6.0,42.3139
Stagger2 (1),1000000.0,0.0,0.0,4.0,2.0,55.5943
Stagger3 (1),1000000.0,0.0,0.0,4.0,2.0,66.64290000000001
RandomRBF_10_1E-3 (1),1000000.0,0.0,10.0,1.0,5.0,30.0096
LED(50000) (1),1000000.0,0.0,0.0,25.0,10.0,10.0824
BNG(vehicle) (1),1000000.0,0.0,18.0,1.0,4.0,25.7546
breast-tissue (2),106.0,0.0,9.0,1.0,4.0,46.22641509433962
RandomRBF_0_0 (1),1000000.0,0.0,10.0,1.0,5.0,30.0096
BNG(sonar) (1),1000000.0,0.0,60.0,1.0,2.0,53.2538
lymphoma_9classes (1),96.0,19667.0,4026.0,1.0,9.0,47.91666666666667
BNG(pendigits) (1),1000000.0,0.0,16.0,1.0,10.0,10.4513
BNG(satimage) (1),1000000.0,0.0,36.0,1.0,6.0,23.8391
BNG(zoo) (1),1000000.0,0.0,1.0,17.0,7.0,39.65040000000001
BNG(mfeat-fourier) (1),1000000.0,0.0,76.0,1.0,10.0,10.0515
BNG(JapaneseVowels) (1),1000000.0,0.0,14.0,1.0,9.0,16.078
numerai28.6 (2),96320.0,0.0,21.0,1.0,2.0,50.51702657807309
airlines (1),539383.0,0.0,3.0,5.0,2.0,55.45577076029464
lymphoma_11classes (1),96.0,19667.0,4026.0,1.0,11.0,23.958333333333336
breast-tissue (1),106.0,0.0,9.0,1.0,6.0,20.754716981132077
volcanoes-a1 (1),3252.0,0.0,3.0,1.0,5.0,90.77490774907749
la2s.wc (1),3075.0,0.0,12432.0,1.0,6.0,29.430894308943092
la1s.wc (1),3204.0,0.0,13195.0,1.0,6.0,29.431960049937572
AirlinesCodrnaAdult (1),1076790.0,7275.0,13.0,17.0,2.0,56.01259298470453
colic (1),368.0,1927.0,7.0,20.0,2.0,63.04347826086957
BNG(ionosphere) (1),1000000.0,0.0,0.0,35.0,2.0,64.10249999999999
BNG(credit-g) (1),1000000.0,0.0,7.0,14.0,2.0,69.9774
re0.wc (1),1504.0,0.0,2886.0,1.0,13.0,40.42553191489361
tr21.wc (1),336.0,0.0,7902.0,1.0,6.0,68.75
BNG(spambase) (1),1000000.0,0.0,0.0,58.0,2.0,60.594800000000006
tr11.wc (1),414.0,0.0,6429.0,1.0,9.0,31.88405797101449
KDDCup09_appetency (1),50000.0,8024152.0,192.0,39.0,2.0,98.22
ohscal.wc (1),11162.0,0.0,11465.0,1.0,10.0,14.522487009496508
covertype (1),110393.0,0.0,14.0,41.0,7.0,46.81637422662669
tr23.wc (1),204.0,0.0,5832.0,1.0,6.0,44.607843137254896
mammography (1),11183.0,0.0,6.0,1.0,2.0,97.67504247518556
BNG(segment) (1),1000000.0,0.0,0.0,20.0,7.0,14.3586
tr12.wc (1),313.0,0.0,5804.0,1.0,8.0,29.712460063897762
BNG(anneal) (1),1000000.0,0.0,6.0,33.0,6.0,75.9652
tr41.wc (1),878.0,0.0,7454.0,1.0,10.0,27.67653758542141
oil_spill (1),937.0,0.0,49.0,1.0,2.0,95.62433297758804
PizzaCutter1 (1),661.0,0.0,37.0,1.0,2.0,92.13313161875944
BNG(optdigits) (1),1000000.0,0.0,0.0,65.0,10.0,10.1675
seeds (1),210.0,0.0,7.0,1.0,3.0,33.33333333333333
PizzaCutter3 (1),1043.0,0.0,37.0,1.0,2.0,87.823585810163
MegaWatt1 (1),253.0,0.0,37.0,1.0,2.0,89.32806324110672
liver-disorders (1),345.0,0.0,6.0,0.0,0.0,
badges2 (1),294.0,0.0,8.0,4.0,2.0,71.42857142857143
parkinsons (1),195.0,0.0,22.0,1.0,2.0,75.38461538461539
zoo (2),101.0,0.0,1.0,17.0,2.0,59.4059405940594
backache (1),180.0,0.0,6.0,27.0,2.0,86.11111111111109
molecular-biology_promoters (2),106.0,0.0,0.0,59.0,2.0,67.9245283018868
heart-switzerland (1),123.0,0.0,12.0,1.0,5.0,39.02439024390244
synthetic_control (2),600.0,0.0,60.0,2.0,2.0,83.33333333333334
zoo (1),101.0,0.0,1.0,16.0,7.0,40.5940594059406
20_newsgroups.drift (1),399940.0,0.0,0.0,1001.0,2.0,95.0
BNG(colic.ORIG) (1),1000000.0,0.0,7.0,21.0,2.0,63.7594
wap.wc (1),1560.0,0.0,8460.0,1.0,20.0,21.85897435897436
banana (1),5300.0,0.0,2.0,1.0,2.0,55.16981132075471
lsvt (1),126.0,0.0,310.0,1.0,2.0,66.66666666666666
wholesale-customers (1),440.0,0.0,7.0,2.0,2.0,67.72727272727272
re1.wc (1),1657.0,0.0,3758.0,1.0,25.0,22.3898611949306
heart-long-beach (1),200.0,0.0,13.0,1.0,5.0,28.000000000000004
sa-heart (1),462.0,0.0,8.0,2.0,2.0,65.36796536796537
vertebra-column (1),310.0,0.0,6.0,1.0,3.0,48.38709677419354
balloon (2),2001.0,0.0,2.0,1.0,2.0,75.91204397801098
user-knowledge (1),403.0,0.0,5.0,1.0,5.0,32.00992555831266
desharnais (2),81.0,0.0,12.0,1.0,3.0,56.79012345679011
seismic-bumps (1),210.0,0.0,7.0,1.0,3.0,33.33333333333333
qualitative-bankruptcy (1),250.0,0.0,0.0,7.0,2.0,57.2
thoracic-surgery (1),470.0,0.0,3.0,14.0,2.0,85.1063829787234
autoUniv-au6-400 (1),400.0,0.0,37.0,4.0,8.0,27.750000000000004
"BNG(anneal,nominal,1000000) (1)",1000000.0,0.0,0.0,39.0,6.0,75.9513
spectrometer (2),531.0,0.0,100.0,3.0,2.0,89.6421845574388
planning-relax (1),182.0,0.0,12.0,1.0,2.0,71.42857142857143
collins (2),500.0,0.0,20.0,4.0,2.0,84.0
flags (2),194.0,0.0,2.0,28.0,2.0,64.43298969072166
yeast_ml8 (1),2417.0,0.0,103.0,14.0,2.0,98.59329747621015
heart-h (3),294.0,0.0,13.0,1.0,5.0,63.94557823129252
wall-robot-navigation (3),5456.0,0.0,4.0,1.0,4.0,40.414222873900286
molecular-biology_promoters (1),106.0,0.0,0.0,59.0,2.0,50.0
volcanoes-a4 (1),1515.0,0.0,3.0,1.0,5.0,90.09900990099008
splice (2),3190.0,0.0,0.0,62.0,2.0,51.88087774294671
cardiotocography (2),2126.0,0.0,35.0,1.0,3.0,77.84571966133583
volcanoes-a3 (1),1521.0,0.0,3.0,1.0,5.0,90.00657462195923
vowel (3),990.0,0.0,10.0,4.0,2.0,90.9090909090909
Fashion-MNIST (1),70000.0,0.0,784.0,1.0,10.0,10.0
analcatdata_halloffame (2),1340.0,20.0,15.0,3.0,2.0,90.67164179104479
robot-failures-lp5 (1),164.0,0.0,90.0,1.0,5.0,28.65853658536585
robot-failures-lp4 (1),117.0,0.0,90.0,1.0,3.0,61.53846153846154
volcanoes-d3 (1),9285.0,0.0,3.0,1.0,5.0,94.46418955304254
volcanoes-d1 (1),8753.0,0.0,3.0,1.0,5.0,94.42476865074829
20_newsgroups.drift (2),399940.0,0.0,0.0,1001.0,2.0,95.0
vertebra-column (2),310.0,0.0,6.0,1.0,2.0,67.74193548387096
volcanoes-b4 (1),10190.0,0.0,3.0,1.0,5.0,96.22178606476938
volcanoes-d4 (1),8654.0,0.0,3.0,1.0,5.0,94.32632308758957
nursery (3),12958.0,0.0,0.0,9.0,4.0,33.33847816020991
rabe_97 (2),46.0,0.0,3.0,2.0,2.0,54.34782608695652
ringnorm (1),7400.0,0.0,20.0,1.0,2.0,50.48648648648647
volcanoes-b2 (1),10668.0,0.0,3.0,1.0,5.0,96.40982377202849
volcanoes-b3 (1),10386.0,0.0,3.0,1.0,5.0,96.34122857693049
volcanoes-b1 (1),10176.0,0.0,3.0,1.0,5.0,96.21658805031448
volcanoes-a2 (1),1623.0,0.0,3.0,1.0,5.0,90.63462723351816
analcatdata_broadway (2),95.0,9.0,3.0,7.0,2.0,71.57894736842105
volcanoes-d2 (1),9172.0,0.0,3.0,1.0,5.0,94.52682075883122
twonorm (1),7400.0,0.0,20.0,1.0,2.0,50.04054054054054
sleuth_case1201 (2),50.0,0.0,6.0,2.0,2.0,52.0
pharynx (2),195.0,2.0,1.0,11.0,2.0,62.051282051282044
chscase_whale (2),228.0,20.0,9.0,1.0,2.0,51.31578947368421
BNG(eucalyptus) (1),1000000.0,0.0,14.0,6.0,5.0,28.9779
hill-valley (2),1212.0,0.0,100.0,1.0,2.0,50.4950495049505
analcatdata_bankruptcy (1),50.0,0.0,5.0,2.0,2.0,50.0
chscase_adopt (2),39.0,0.0,2.0,2.0,2.0,69.23076923076923
chscase_health (2),50.0,0.0,2.0,3.0,2.0,52.0
GCM (1),190.0,0.0,16063.0,1.0,14.0,15.789473684210524
witmer_census_1980 (2),50.0,0.0,4.0,2.0,2.0,52.0
rabe_176 (2),70.0,0.0,4.0,1.0,2.0,50.0
rabe_166 (2),40.0,0.0,2.0,1.0,2.0,52.5
analcatdata_draft (2),366.0,1.0,3.0,3.0,2.0,91.25683060109293
leaf (1),340.0,0.0,15.0,1.0,30.0,4.705882352941177
hutsof99_child_witness (2),42.0,0.0,16.0,1.0,2.0,59.523809523809526
volcanoes-b6 (1),10130.0,0.0,3.0,1.0,5.0,96.20927936821323
CastMetal1 (1),327.0,0.0,37.0,1.0,2.0,87.1559633027523
sleuth_ex1221 (2),42.0,0.0,8.0,3.0,2.0,54.76190476190477
wall-robot-navigation (2),5456.0,0.0,2.0,1.0,4.0,40.414222873900286
vineyard (2),52.0,0.0,3.0,1.0,2.0,53.84615384615386
tr31.wc (1),927.0,0.0,10128.0,1.0,7.0,37.97195253505933
volcanoes-b5 (1),9989.0,0.0,3.0,1.0,5.0,96.09570527580335
analcatdata_olympic2000 (2),66.0,0.0,11.0,2.0,2.0,50.0
volcanoes-e4 (1),1252.0,0.0,3.0,1.0,5.0,91.3738019169329
analcatdata_gviolence (2),74.0,0.0,8.0,2.0,2.0,58.1081081081081
sponge (2),76.0,22.0,0.0,46.0,2.0,92.10526315789473
volcanoes-e5 (1),1112.0,0.0,3.0,1.0,5.0,90.8273381294964
volcanoes-e1 (1),1183.0,0.0,3.0,1.0,5.0,91.54691462383772
volcanoes-e2 (1),1080.0,0.0,3.0,1.0,5.0,91.11111111111113
abalone (3),4177.0,0.0,7.0,2.0,3.0,34.64208762269572
volcanoes-e3 (1),1277.0,0.0,3.0,1.0,5.0,91.62098668754896
bank-marketing (2),4521.0,0.0,7.0,10.0,2.0,88.47600088476001
colleges_usnews (2),1302.0,7830.0,32.0,3.0,2.0,52.84178187403994
analcatdata_reviewer (2),379.0,1368.0,0.0,9.0,2.0,56.992084432717675
analcatdata_bondrate (2),57.0,1.0,4.0,8.0,2.0,57.89473684210528
PieChart3 (1),1077.0,0.0,37.0,1.0,2.0,87.55803156917364
energy-efficiency (1),768.0,0.0,8.0,2.0,37.0,9.635416666666668
analcatdata_cyyoung9302 (1),92.0,0.0,6.0,5.0,2.0,79.34782608695652
flags (1),194.0,0.0,2.0,28.0,8.0,30.927835051546392
bridges (5),107.0,71.0,3.0,10.0,2.0,58.878504672897186
PieChart1 (1),705.0,0.0,37.0,1.0,2.0,91.34751773049645
analcatdata_japansolvent (1),52.0,0.0,8.0,2.0,2.0,51.92307692307693
analcatdata_election2000 (2),67.0,0.0,14.0,2.0,2.0,73.13432835820895
water-treatment (2),527.0,560.0,21.0,18.0,2.0,84.81973434535105
PieChart2 (1),745.0,0.0,36.0,1.0,2.0,97.85234899328859
colleges_aaup (2),1161.0,256.0,13.0,4.0,2.0,70.02583979328165
BNG(optdigits) (2),1000000.0,0.0,0.0,65.0,10.0,10.1675
BNG(anneal) (2),1000000.0,0.0,6.0,33.0,6.0,75.9652
analcatdata_uktrainacc (2),31.0,150.0,16.0,1.0,2.0,87.09677419354837
BNG(credit-g) (2),1000000.0,0.0,7.0,14.0,2.0,69.9774
BNG(ionosphere) (2),1000000.0,0.0,0.0,35.0,2.0,64.10249999999999
BNG(segment) (2),1000000.0,0.0,0.0,20.0,7.0,14.3586
BNG(spambase) (2),1000000.0,0.0,0.0,58.0,2.0,60.594800000000006
thyroid-allbp (1),2800.0,0.0,6.0,21.0,5.0,58.28571428571429
thyroid-allhyper (1),2800.0,0.0,6.0,21.0,5.0,58.28571428571429
BNG(solar-flare) (1),663552.0,0.0,0.0,13.0,2.0,97.70447530864195
CostaMadre1 (2),296.0,0.0,37.0,1.0,2.0,87.16216216216215
"BNG(glass,nominal,137781) (1)",137781.0,0.0,0.0,10.0,7.0,35.038938605468104
"BNG(page-blocks,nominal,295245) (1)",295245.0,0.0,0.0,11.0,5.0,89.82743145523209
Smartphone-Based_Recognition_of_Human_Activities (1),180.0,0.0,66.0,2.0,6.0,16.666666666666664
CIFAR_10 (1),60000.0,0.0,3072.0,1.0,10.0,10.0
walking-activity (1),149332.0,0.0,4.0,1.0,22.0,14.726247555781748
AP_Endometrium_Breast (1),405.0,0.0,10936.0,1.0,2.0,84.93827160493828
AP_Ovary_Uterus (1),322.0,0.0,10936.0,1.0,2.0,61.49068322981367
AP_Endometrium_Prostate (1),130.0,0.0,10936.0,1.0,2.0,53.07692307692307
AP_Colon_Omentum (1),363.0,0.0,10936.0,1.0,2.0,78.78787878787878
AP_Breast_Omentum (1),421.0,0.0,10936.0,1.0,2.0,81.7102137767221
AP_Prostate_Kidney (1),329.0,0.0,10936.0,1.0,2.0,79.0273556231003
AP_Omentum_Kidney (1),337.0,0.0,10936.0,1.0,2.0,77.15133531157271
AP_Colon_Ovary (1),484.0,0.0,10936.0,1.0,2.0,59.09090909090909
AP_Omentum_Ovary (1),275.0,0.0,10936.0,1.0,2.0,72.0
AP_Breast_Prostate (1),413.0,0.0,10936.0,1.0,2.0,83.29297820823246
AP_Omentum_Uterus (1),201.0,0.0,10936.0,1.0,2.0,61.691542288557216
AP_Uterus_Kidney (1),384.0,0.0,10936.0,1.0,2.0,67.70833333333334
AP_Prostate_Uterus (1),193.0,0.0,10936.0,1.0,2.0,64.24870466321244
